location_source_dataset,borough,pub_name,name,address,latitude,longitude,phone_number,email,website,booking_link,image_url,description,food,cocktails,beer_garden,live_sports,live_music,pub_quiz,darts,pool,happy_hour,karaoke,cool,locality,constructed_pub_url,pub_url,borough_url
borough_embedded_map_data_raw,Havering,Allsop Arms,Allsop Arms,"137-143 Gloucester Place, NW1 5AL",51.5223,-0.160162,,,https://www.greeneking.co.uk/pubs/greater-london/allsop-arms,https://www.greeneking.co.uk/pubs/greater-london/allsop-arms/book,https://search.app.goo.gl/ux1Q15L,"Located in the heart of London, The Allsop Arms is a spacious pub offering expertly-brewed cask ale and classic pub food right next to Baker Street station. With top-notch amenities including disabled facilities, dog-friendly atmosphere, and live sports, this pub is the perfect spot to catch up with friends and enjoy a great time. Join them for the Euros or treat yourself to their new menu featuring tantalizing dishes. Don't miss out on their special offers and events like Father's Day celebrations or watching live football matches. Book a table at The Allsop Arms for a fantastic pub experience in London!",Yes,Yes,,Yes,,,,,,,,,https://www.pint-prices.com/pub/137-143%20Gloucester%20Place%2C%20NW1%205AL/Allsop%20Arms,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,ALMA,ALMA,N1 9EX,51.4992,-0.137895,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/N1%209EX/ALMA,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Alma,Alma,N19EX,51.4992,-0.137895,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/N19EX/Alma,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,City of London,Anchor,Anchor,"34 Park Street, SE1 9EF",51.5072,-0.0929363,,,https://www.greeneking.co.uk/pubs/greater-london/anchor-bankside,https://www.greeneking.co.uk/pubs/greater-london/anchor-bankside/book,https://images.app.goo.gl/fBT2ckJarXaqQZMe7,"Located in the bustling London borough of Southwark, The Anchor Bankside is a historic pub rebuilt in 1676 after the great fire of London. As the sole survivor of the river taverns from Shakespeare's time, this pub offers a charming and cozy atmosphere for visitors to enjoy. With top-notch amenities including a beer garden, disabled facilities, and free Wi-Fi, The Anchor is the perfect spot to unwind and refuel after exploring nearby attractions like Borough Market and Shakespeare's Globe. Whether you're looking for classic pub food, expertly crafted cocktails, or premium beers, The Anchor Bankside has something for everyone. Plus, being a dog-friendly establishment, you can even bring your four-legged friend along to join in the fun. Book a table today and experience a piece of London's rich history at The Anchor Bankside.",Yes,Yes,Yes,,,,,,,,,,https://www.pint-prices.com/pub/34%20Park%20Street%2C%20SE1%209EF/Anchor,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,City of London,Anchor - Bankside (Southwark),Anchor - Bankside (Southwark),"34 Park Street, , Southwark, England",51.5073,-0.092875,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/34%20Park%20Street%2C%20%2C%20Southwark%2C%20England/Anchor%20-%20Bankside%20%28Southwark%29,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,Havering,Angie's Freehouse,Angie's Freehouse,"33-35 Woodfield Pl, Maida Hill, London W9 2BJ",51.5231,-0.200807,,,,,https://images.app.goo.gl/tkd1qU3R7JxXnVvU7,"Welcome to Angie's Freehouse, located at 33-35 Woodfield Place in Maida Hill, London. This pub offers food, live sports, live music, and darts for entertainment. Whether you're looking to enjoy a meal, catch a game, or listen to some live music, Angie's Freehouse has something for everyone.",Yes,,,Yes,Yes,,Yes,,,,,,https://www.pint-prices.com/pub/33-35%20Woodfield%20Pl%2C%20Maida%20Hill%2C%20London%20W9%202BJ/Angie%27s%20Freehouse,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Arkstar,Arkstar,"Arch 1, 303 Holloway Rd, London N7 8HS",51.5529,-0.112912,,,,,CLOSED,"Welcome to Arkstar, located at Arch 1, 303 Holloway Rd in London. This pub is a hidden gem recommended by the London Pub Map Guy. With a variety of amenities like live music, pool, and darts, Arkstar is the perfect spot to unwind and have a great time with friends. Whether you're looking for a relaxing evening or a lively night out, Arkstar has something for everyone.",,,,,,,,,,,,,https://www.pint-prices.com/pub/Arch%201%2C%20303%20Holloway%20Rd%2C%20London%20N7%208HS/Arkstar,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Barnet,Arnos Arms,Arnos Arms,"338 Bowes Road, Arnos Grove, London, N11 1AN",51.6162,-0.132117,0208 368 4456,arnosarms@craftlocals.com,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,,https://www.pint-prices.com/borough-results/Barnet
borough_embedded_map_data_raw,Havering,Ayslum Tavern,Ayslum Tavern,"40-42 Asylum Rd, London SE15 2RL",51.478,-0.0591987,,,,,https://lh3.googleusercontent.com/p/AF1QipNA9JE93Rw7n5_QRyCDnC6isyji8IjSabdLljhm=s680-w680-h510,"Welcome to Asylum Tavern, located at 40-42 Asylum Rd, London SE15 2RL. This pub offers live music, darts, and karaoke for a fun and entertaining night out. Whether you're looking to enjoy a lively atmosphere or showcase your singing skills, Asylum Tavern has something for everyone.",,,,,Yes,,Yes,,,Yes,,,https://www.pint-prices.com/pub/40-42%20Asylum%20Rd%2C%20London%20SE15%202RL/Ayslum%20Tavern,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Baccarat Bar,Baccarat Bar,"87-135 Brompton Rd, London SW1X 7XL",51.4991,-0.164071,,,,"https://www.sevenrooms.com/reservations/baccaratbarlondon?venues=baccaratbarlondon,studiofrantzen,moetchandonchampagnebar,caviarhouseprunier",https://images.app.goo.gl/ahVmDiKsR9JnWN1H8,"Located at 87-135 Brompton Rd in London, Baccarat Bar is a vibrant pub offering delicious food and a wide selection of cocktails. Whether you're looking for a place to enjoy a meal or sip on some expertly crafted drinks, Baccarat Bar has you covered. Visit their website to make a booking and experience the lively atmosphere for yourself!",Yes,Yes,,,,,,,,,,,https://www.pint-prices.com/pub/87-135%20Brompton%20Rd%2C%20London%20SW1X%207XL/Baccarat%20Bar,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bacco Ristorante Italiano,Bacco Ristorante Italiano,"39-41 Kew Rd, London TW9 2NQ, UK",51.4641,-0.301792,020 8332 0348,hello@bacco-restaurant.co.uk,http://www.bacco-restaurant.co.uk/,https://bacco-restaurant.co.uk/#,https://images.app.goo.gl/xoSEqH6RBWS3Nxxg6,"Located in Richmond, Bacco Ristorante Italiano offers a delightful experience with good food, good wine, and good company. The extensive Italian wine list includes selections from small producers to well-known vineyards. Enjoy alfresco dining on the decked terrace or host a personalized party in the Private Room with no room hire fee. Whether you're looking for a relaxing meal or a lively gathering, Bacco welcomes you with a friendly atmosphere and fresh ingredients. Book your table now for an unforgettable dining experience at Bacco Ristorante Italiano.",yes,yes,,,,,,,,,,,https://www.pint-prices.com/pub/39-41%20Kew%20Rd%2C%20London%20TW9%202NQ%2C%20UK/Bacco%20Ristorante%20Italiano,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bag O'Nails (Victoria),Bag O'Nails (Victoria),"6 Buckingham Palace Road, SW1W 0PP",51.4981,-0.14415,,,https://www.greeneking.co.uk/pubs/greater-london/bag-o-nails,,https://gkbr-p-001.sitecorecontenthub.cloud/api/public/content/dd374d35575c434f9975e78df5844f43?v=b914ac19&t=w1540,"Located in Victoria, the Bag O'Nails is a historic pub first licensed in 1775. Named after a wild celebration of dancing and drinking, this pub maintains its good times reputation. With top-notch amenities including a beer garden, this dog-friendly and family-friendly pub offers a menu of traditional pub food, including vegan, vegetarian, and non-gluten options. Enjoy cocktails, cask ales, and wine while surrounded by a welcoming atmosphere. Whether you're looking for a post-work pint or a Sunday roast, the Bag O'Nails is the perfect spot to unwind and indulge.",Yes,Yes,Yes,,,,,,,,,,https://www.pint-prices.com/pub/6%20Buckingham%20Palace%20Road%2C%20SW1W%200PP/Bag%20O%27Nails%20%28Victoria%29,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bar + Block Steakhouse London Wimbledon,Bar + Block Steakhouse London Wimbledon,"153-161 The Broadway, London SW19 1NE, UK",51.419,-0.198775,020 8051 2946,,https://www.barandblock.co.uk/en-gb/locations/wimbledon?cid=GLBC_40538560,,https://resizer.otstatic.com/v2/photos/wide-huge/1/31917742.jpg,"Welcome to Bar + Block Steakhouse in Wimbledon, London! If you're looking for the best quality steaks and an outstanding steakhouse experience, you've come to the right place. Since opening in February 2019, Bar + Block has become one of the most popular steakhouse restaurants in Wimbledon, known for our delicious steaks and cocktails. Our enthusiastic team is ready to provide you with a memorable dining experience. Whether you prefer an 8oz, 12oz, 16oz steak, or even a whole joint, we've got you covered. Don't forget to visit our bar for a wide selection of cocktails and a relaxed evening with friends. Located just a few steps from Wimbledon Theatre and a short walk from Wimbledon Underground station, our steakhouse is conveniently situated in the heart of Wimbledon. Our talented chefs hand-cut steaks to order and our master mixologists craft the best cocktails you've ever tasted. Join us for a meal and leave with great memories of delicious food and excellent service.",yes,yes,,,,,,,,,yes,,https://www.pint-prices.com/pub/153-161%20The%20Broadway%2C%20London%20SW19%201NE%2C%20UK/Bar%20%2B%20Block%20Steakhouse%20London%20Wimbledon,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bargo,Bargo,"57 Orford Rd, London E17 9NJ, UK",51.5823,-0.0128854,,hello@bargolondon.co.uk,https://bargolondon.co.uk/,,https://lh3.googleusercontent.com/p/AF1QipPEhqX9YOdlr3jFXqn0JwKv-C9T4x2f5E01WXvN=s680-w680-h510,"Located on Orford Road in Walthamstow, London, Bargo is a sophisticated social space that celebrates craft and champions the qualities of wines, cocktails, and small plate culinary artistry. Their seasonal menu offers a variety of small plate dishes made with organic and locally sourced ingredients, perfect for sharing. The drinks menu features a selection of cocktails, non-alcoholic drinks, and wines curated by master mixologists. Bargo also hosts a range of events throughout the week, including live music performances and art installations. Whether you're a culinary connoisseur or simply looking for a fun and vibrant atmosphere, Bargo offers a unique experience for all.",yes,yes,,,,,,,,,,,https://www.pint-prices.com/pub/57%20Orford%20Rd%2C%20London%20E17%209NJ%2C%20UK/Bargo,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Barley Mow,Barley Mow,LE16FE,52.6322,-1.12739,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/LE16FE/Barley%20Mow,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Croydon,Basil & Grape,Basil & Grape,"46 George St, Croydon CR0 1PB, UK",51.3739,-0.098257,020 8680 2277,,http://www.basilandgrape.com/,https://www.basilandgrape.com/contact-us/,https://images.app.goo.gl/8LHfYmP9vfekDhux5,"Located at 46 George St, Croydon CR0 1PB, Basil & Grape is a vibrant pub offering delicious food and cocktails. They have a happy hour for you to enjoy and you can even make a booking on their website. While there are no darts or pool available, this pub is perfect for those looking to unwind with great drinks and tasty bites. Visit their website at http://www.basilandgrape.com/ for more information and to make a reservation.",Yes,Yes,,,,,,,Yes,,,,https://www.pint-prices.com/pub/46%20George%20St%2C%20Croydon%20CR0%201PB%2C%20UK/Basil%20%26%20Grape,,https://www.pint-prices.com/borough-results/Croydon
borough_embedded_map_data_raw,Havering,Bayswater Arms,Bayswater Arms,"Queensway, W2 4QH",51.5121,-0.187488,,,https://www.greeneking.co.uk/pubs/greater-london/bayswater-arms,,https://gkbr-p-001.sitecorecontenthub.cloud/api/public/content/bbaad99259684a4fb0271abc73ba8e3c?v=3f6a67b8&t=w1540,"Welcome to The Bayswater Arms, a traditional corner pub with a beer garden in Bayswater. This family-friendly pub serves expertly-brewed cask ale and classic British dishes. Enjoy a relaxing atmosphere and top-notch amenities including being dog-friendly, family-friendly, and offering WiFi. Join us for the Euros and experience a fantastic pub environment with your mates. Don't miss out on our special Father's Day celebration and be sure to check out our new menu and drinks selection. Book your table now and come enjoy a great time at The Bayswater Arms!",Yes,Yes,Yes,,,,,,,,,,https://www.pint-prices.com/pub/Queensway%2C%20W2%204QH/Bayswater%20Arms,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bbar,Bbar,"43 Buckingham Palace Rd, London SW1W 0PP, UK",51.4982,-0.1435,020 7958 7000,,https://bbarlondon.com/?utm_source=google&utm_medium=local&utm_campaign=bar-bbar,,https://lh3.googleusercontent.com/proxy/TQBbGc9q3Hl6-6jNGYp1hDir_QHqg29ha43iQYBTAFafwYvt5SD3Dw919Z1LIg9PMGeWSQWafGYVCrx5RnxahW2TLg1Fr5No4Jc17j-I4X5F-8DbRhHMtmWw2q_GWlza_qVKhXu7XOSpFIXBAJCFbrZyODTfTvltqNMqvA=s680-w680-h510,"Located beneath London's largest Living Wall, Bbar is a vibrant cocktail bar and restaurant in the heart of Victoria. With a menu featuring signature classics and modern twists like parmesan crumbed chicken schnitzel and The Son of a Gun burger, Bbar offers an exceptional dining experience. Enjoy live mix sessions, DJ sets, and contemporary signature cocktails created by resident mixologists throughout the week. Whether you're looking for casual dining, Afternoon Tea, or versatile private hire spaces, Bbar has something for everyone. Don't miss out on their fully plant-based vegan options and al fresco terrace for a delightful dining experience.",Yes,,,,,,,,,,,,https://www.pint-prices.com/pub/43%20Buckingham%20Palace%20Rd%2C%20London%20SW1W%200PP%2C%20UK/Bbar,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bear,Bear,"36a Carlton St, Nottingham NG1 1NN",52.9535,-1.1439,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/36a%20Carlton%20St%2C%20Nottingham%20NG1%201NN/Bear,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,BeBopaLula,BeBopaLula,N169EJ,51.5538,-0.0882406,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/N169EJ/BeBopaLula,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,City of London,Beechwood Sport Pub & Kitchen,Beechwood Sport Pub & Kitchen,"Worship St, London EC2A 2FA",51.5216,-0.0794693,,,https://beechwoodsportspub.com/,,https://lh3.googleusercontent.com/p/AF1QipPHLMpySdO253cpBQanAwcvOYlfyvlWaFMdGUMa=s680-w680-h510,,Yes,,,Yes,,,,,,,,,https://www.pint-prices.com/pub/Worship%20St%2C%20London%20EC2A%202FA/Beechwood%20Sport%20Pub%20%26%20Kitchen,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,Havering,bell,bell,shottery,52.1909,-1.72874,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/shottery/bell,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,City of London,Bell Bush Lane EC4,Bell Bush Lane EC4,"29 Bush Lane, Fleet Street, London, United Kingdom",51.5107,-0.08961,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/29%20Bush%20Lane%2C%20Fleet%20Street%2C%20London%2C%20United%20Kingdom/Bell%20Bush%20Lane%20EC4,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,Hammersmith and Fulham,Belushi’s,Belushi’s,W6 7AB,51.4933,-0.224437,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/W6%207AB/Belushi%E2%80%99s,,https://www.pint-prices.com/borough-results/Hammersmith%20and%20Fulham
borough_embedded_map_data_raw,Havering,Benfleet Tavern,Benfleet Tavern,South Benfleet ,51.5507,0.554541,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/South%20Benfleet/Benfleet%20Tavern,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,City of London,Bermondsey Bar & Kitchen,Bermondsey Bar & Kitchen,", , Southwark, ",51.5023,-0.082746,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/%2C%20%2C%20Southwark%2C/Bermondsey%20Bar%20%26%20Kitchen,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,Havering,Bertie's Bar,Bertie's Bar,"3 Hartfield Rd, London SW19 3TA",51.4204,-0.206549,020 8946 5369,https://www.facebook.com/Bertiesbarsw19,,,https://www.destinationtips.com/wp-content/uploads/2016/07/pubs-1200x799.png,"Welcome to Bertie's Bar, located at 3 Hartfield Rd, London SW19 3TA. This lively pub offers delicious food, live music, and a welcoming atmosphere. Whether you're looking to enjoy a meal, listen to great music, or simply relax with friends, Bertie's Bar has something for everyone. Contact us at 020 8946 5369 or visit our Facebook page for more information.",yes,,,,yes,,,,,,,,https://www.pint-prices.com/pub/3%20Hartfield%20Rd%2C%20London%20SW19%203TA/Bertie%27s%20Bar,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bethnal Green Tavern,Bethnal Green Tavern,"456 Bethnal Green Rd, London E2 0EA",51.527,-0.0583629,,,https://www.bethnalgreentavern.co.uk/,,https://lh3.googleusercontent.com/p/AF1QipNeu73trnVJOBm_WGAa5S3Q1UZZpLNKjkT4Cgzz=s680-w680-h510,"Welcome to Bethnal Green Tavern, a pub located in the heart of London's east end. We pride ourselves on serving an ever-changing menu of beers from around the world, a seasonal British food menu inspired by all things nostalgic, and some of the tastiest Sunday roasts around. Whether you're looking for a relaxing beer garden, delicious food, or a friendly atmosphere, all are welcome at Bethnal Green Tavern. Join us for a memorable experience and we'll see you at the bar!",Yes,,Yes,,,,,,,,,,https://www.pint-prices.com/pub/456%20Bethnal%20Green%20Rd%2C%20London%20E2%200EA/Bethnal%20Green%20Tavern,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Bexley,Bexleyheath Working Mens Club,Bexleyheath Working Mens Club,"Royal Oak Rd, Bexleyheath DA6 7HG, UK",51.4555,0.142405,020 8303 2163,,,,https://lh3.googleusercontent.com/p/AF1QipPIO5Yfr8MFB3veY9zFCJrF-IdrQ6WnsCPbCFPp=s680-w680-h510,"Welcome to Bexleyheath Working Mens Club! Located on Royal Oak Rd in Bexleyheath, our pub offers a beer garden, live sports, live music, and pool for your entertainment. Join us for a great time with friends and enjoy the lively atmosphere.",,,Yes,Yes,Yes,,,Yes,,,,,https://www.pint-prices.com/pub/Royal%20Oak%20Rd%2C%20Bexleyheath%20DA6%207HG%2C%20UK/Bexleyheath%20Working%20Mens%20Club,,https://www.pint-prices.com/borough-results/Bexley
borough_embedded_map_data_raw,Havering,Bingham Riverhouse,Bingham Riverhouse,"61-63 Petersham Rd, Richmond TW10 6UW, UK",51.4553,-0.303441,020 8940 0902,,https://www.binghamriverhouse.com/?utm_source=google&utm_medium=local&utm_campaign=binghamriverhouse,,,,,,,,,,,,,,,Richmond upon Thames,https://www.pint-prices.com/pub/61-63%20Petersham%20Rd%2C%20Richmond%20TW10%206UW%2C%20UK/Bingham%20Riverhouse,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Binks Yard,Binks Yard,Binks Yard The Island Quarter 1 The Great Northern Close Nottingham NG2 3JL,52.9486,-1.13944,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/Binks%20Yard%20The%20Island%20Quarter%201%20The%20Great%20Northern%20Close%20Nottingham%20NG2%203JL/Binks%20Yard,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Bistro 1651,Bistro 1651,WV10 7NW,52.6492,-2.09741,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/WV10%207NW/Bistro%201651,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Black Cat,Black Cat,"9 Winslade Way, London SE6 4JU, UK",51.4458,-0.0216015,020 7041 9269,,,,https://images.app.goo.gl/BoosJqaWibB4ppYr6,"Welcome to Black Cat, located at 9 Winslade Way, London SE6 4JU, UK. This pub offers live sports and live music, making it the perfect spot for entertainment enthusiasts. With food available, you can enjoy a meal while catching the latest game or listening to live performances. Contact us at 020 7041 9269 for more information.",yes,,,yes,yes,,,,,,,,https://www.pint-prices.com/pub/9%20Winslade%20Way%2C%20London%20SE6%204JU%2C%20UK/Black%20Cat,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Hammersmith and Fulham,Black Lion,Black Lion,"2 S Black Lion Ln, London W6 9TJ",51.4905,-0.24209,,,https://www.blacklion.london/,,https://londonspubswherehistoryreallyhappened.wordpress.com/wp-content/uploads/2017/11/better-black-lion-pic.jpg?w=584,,Yes,,Yes,,,,,,,,,,https://www.pint-prices.com/pub/2%20S%20Black%20Lion%20Ln%2C%20London%20W6%209TJ/Black%20Lion,,https://www.pint-prices.com/borough-results/Hammersmith%20and%20Fulham
borough_embedded_map_data_raw,Havering,Blackbird,Blackbird,Earl's Court ,51.4918,-0.192051,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/Earl%27s%20Court/Blackbird,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Blackbirds,Blackbirds,"15-17 Parliament Square, , Hertford, United Kingdom",51.7954,-0.07818,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/15-17%20Parliament%20Square%2C%20%2C%20Hertford%2C%20United%20Kingdom/Blackbirds,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Blisland inn,Blisland inn,Bodmin moor ,53.1844,-0.592895,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/Bodmin%20moor/Blisland%20inn,,https://www.pint-prices.com/borough-results/Havering
